Fly_date,Origin_airport,Destination_airport,Passengers,Distance,Flights
1990-01-15,PDX,ORD,45200,1739,340
1990-02-15,PDX,ORD,42800,1739,320
1990-03-15,PDX,ORD,48900,1739,360
1990-04-15,PDX,LAX,51200,834,410
1990-05-15,PDX,LAX,54300,834,430
1990-06-15,PDX,LAX,61000,834,490
1995-01-15,PDX,SFO,58400,550,450
1995-04-15,PDX,SFO,62100,550,480
1995-07-15,PDX,SEA,71500,129,580
1995-10-15,PDX,SEA,68200,129,550
2000-01-15,PDX,DEN,84500,991,620
2000-04-15,PDX,DEN,91200,991,670
2000-07-15,PDX,ATL,108500,2172,740
2000-10-15,PDX,ATL,98400,2172,710
2005-01-15,PDX,JFK,112000,2434,780
2005-04-15,PDX,JFK,125400,2434,830
2005-07-15,PDX,DFW,142000,1616,910
2005-10-15,PDX,DFW,131200,1616,860
2006-01-15,PDX,LAX,138900,834,890
2006-04-15,PDX,LAX,156400,834,970
2006-07-15,PDX,ORD,220000,1739,1250
2006-10-15,PDX,ORD,185000,1739,1100
2009-01-15,PDX,SEA,128000,129,880
2009-04-15,PDX,SFO,145000,550,960
2009-07-15,PDX,LAX,178000,834,1150
2009-10-15,PDX,DEN,162000,991,1040
